FULL_ADDRESS,Type,Description,Municipality,Community,Days,%,List Price,Sold Price,Expiry Date,Street Name,St#,Bedroom,BedPlus,Wr,Garage Type,Parking Drive Spaces,Pool,Contract Date,Sold Date,Remarks For Clients,Extras,Address,Postal Code,Municipality District
"138 Mullen Dr, Ajax, ONTARIO, CANADA, L1T 2A7",Detached,2-Storey,Ajax,Central West,7,98,"$689,900 ","$675,000 ",2018-03-06,Mullen,138,3,1,4,Attached,4,None,2017-12-06,2017-12-13,Beautifully Renovated Detached Home In Desirable Neighbourhood. Mullen Park Across The Street. Close To All Amenities. Large Private Lot. Entertainers Back Yard Showcasing Huge Multi-Level Deck. Stunning Grand Entrance With Wrought Iron/Oak Staircase And Polished Ceramic Flrs. Custom Chef's Kitchen W/Quartz Cnts . Hrdwds Throughout The Main & Upper Floors. Main Flr Laundry W/Access To Garage. Finished Basement Feat Laminate Floors/Fullbath/Bedrm/Large Rec Rm.,Custom Chef's Kitchen/All Hardwoods/New Windows Throughout/Finished Basement All Completed 2017. Bathrooms Renovated 2017/Central Vac Included. Elf's And Window Coverings Included.,138 Mullen Dr,L1T 2A7,Ajax
"132 Mullen Dr, Ajax, ONTARIO, CANADA, L1T2A7",Detached,2-Storey,Ajax,Central West,6,105,"$575,000 ","$601,000 ",2018-02-22,Mullen,132,3,1,4,Attached,2,None,2017-11-22,2017-11-28,"Open House On 25th & 26th November 2-4Pm. Beautiful 3+1 Br Home With Lots Of Upgrade. Finished Basement With Separate Entrance, Roof 2006, Windows 2010, New Washroom Hardwood Throughout The House, Oak Stairs, Oak Railing And Spindles. All Washrooms With Upgraded Vanity, New Furnace, Beautiful Front Patio. Double Driveway Close To Ttc, School, Shopping And All Amenities.","S.S Fridge, Stove, Dishwasher, Basement Fridge, Stove, Washer, Dryer, All Light Fixtures, Quartz Countertop, Brand New Kitchen With Backsplash, Large Deck, Under Mound Sink.Large Deck",132 Mullen Dr,L1T2A7,Ajax
"34 Mullen Dr, Ajax, ONTARIO, CANADA, L1T2A5",Detached,2-Storey,Ajax,Central West,60,96,"$679,000 ","$651,000 ",2018-01-17,Mullen,34,3,1,3,Attached,4,None,2017-11-14,2018-01-13,"*Absolutely A Gorgeous Home With Exquisite Finishing Details* Completely Reno Kit (17) With Quartz Counters, Porcelain Flr's* Beautiful Hardwood Flr's Throughout* Solid Wood Stairs* All Baths Completely Renovated* This Is A Truly Move-In Ready Home* Great Quiet Street* Great Location* New Roof (17) New Ac (15) Clock In Main Hall Will Stay (Haha). Main Flr Family Rm With Wood Burning Fireplace. Do Not Miss This One * Just Fantastic*","All New Kit.Appliances(17) S/S Fridge,S/S Oven &Cooktop,S/S Micro,B /I Dishwasher, Washer & Dryer (13) Nat Gas Standby Generator,8 Camera Video Security Syst W/ Monitor W/Remote Access,Nat Gas Bbq, All Elf's,All Window Coverings,Hwt Owned,",34 Mullen Dr,L1T2A5,Ajax
"87 Radford Dr, Ajax, ONTARIO, CANADA, L1T2E2",Detached,2-Storey,Ajax,Central West,11,109,"$488,800 ","$535,000 ",2018-04-30,Radford,87,3,,2,Attached,4,None,2017-11-24,2017-12-05,"Lovely Cozy Corner Lot!!! Perfect Starter Home In Great Family Neighborhood! Natural Light & Laminate Flooring Though 1st & 2nd Flr. Completely New Renovation!!! Huge Deck, Huge Back Yard. Close To All Schools, Public Transit, Shopping, Community Center.","S/S Fridge, S/S Stove, S/S Microwave, S/S Dishwasher, Washer & Dryer, All Elfs, Furnance. Central Air.",87 Radford Dr,L1T2E2,Ajax
"80 Radford Dr, Ajax, ONTARIO, CANADA, L1T2G2",Detached,2-Storey,Ajax,Central West,8,99,"$564,900 ","$558,500 ",2018-06-30,Radford,80,3,,3,Attached,2,None,2018-01-15,2018-01-23,"Excellent Home In Westney Heights For First The Time Buyer! Just Completed Fabulous Four Piece Ensuite (Unique To This Size And Model Of House) In The Masterbedroom. Finished Basement With Seperate Entrance, Second Kitchen And Fully Finished Rec Room And Full Three Piece Bath. Newer Broadloom, Laminate Flooring, Stainless Steel Appliances. Roof Tiles Replaced One Year Ago. A Truly Clean And Welcoming Family Home. Don't Miss This Rare Opportunity.","Two Fridges, Two Stoves, Central Air Conditioning, Gas Burner And Equipment, All Existing Window Coverings, Light Fixtures Built In Dishwasher.",80 Radford Dr,L1T2G2,Ajax
"140 Radford Dr, Ajax, ONTARIO, CANADA, L1T2E1",Detached,2-Storey,Ajax,Central West,33,98,"$558,000 ","$545,000 ",2018-02-06,Radford,140,3,,2,Attached,2,None,2017-12-06,2018-01-08,"Great Starter Home In High Demand Area!! Bright Open Concept Living/Dining Space W/Gleaming Hardwood Floors, Lots Of Natural Light! The Updated & Extended (3 Ft Extension Into Garage) Kitchen Offers Loads Of Cabinetry! Crown Mouldings & California Shutters Thru-Out! Finished Basement W/ Washroom & Fireplace! Large Covered Deck W/2 Skylights Feels Like An Extension Of The Home! Minutes To 401! Great For Commuters! Community Centre, Skate Park, Shops Close By!","Fridge, Stove, Washer, Dryer, Cac, Shed. Furnace(Replaced 2014), Roof (Replaced 2013), New Garage Door (Replaced 2015), New Double Sliding Patio Door With Internal Blinds, New Windows! Driveway & Concrete Walkway! (Done 2016)",140 Radford Dr,L1T2E1,Ajax
"107 Radford Dr, Ajax, ONTARIO, CANADA, L1T2C3",Detached,2-Storey,Ajax,Central West,34,99,"$499,900 ","$495,000 ",2018-06-30,Radford,107,3,,2,Attached,2,None,2017-12-21,2018-01-24,"Well Maintained, Ceramics In Kitchen, Foyer, Bathrooms And Basement Floors. Laminate In Bedrooms, Dining And Living Room. Main Washroom Renovated In 2012, Basement Washroom In 2017. New Garage Door In 2012, Remote In 2015, Most Windows In 2011. House Painted In 2017, Wood Steps On Staircase, Extra Insulation In Attic And Over Garage","S/S Fridge 2014, S/S Stove 2015, New Dishwasher, Washer And Dryer In 2013, High Efficiency Central Air Condition System, Furnace Is Also High Efficiency.",107 Radford Dr,L1T2C3,Ajax
"26 Radford Dr, Ajax, ONTARIO, CANADA, L1T2H8",Detached,2-Storey,Ajax,Central West,10,98,"$524,900 ","$515,000 ",2018-04-19,Radford,26,3,1,2,Attached,3,None,2017-12-19,2017-12-29,"Gorgeous Family Home In A Family Oriented Neighborhood Well Kept Home With Lots Of Natural Sunlight Updated Kitchen, A/C Garage Door Opener, Shingles, Kitchen 2016. High Efficiency Furnace. All Stainless Steel Appliances. Close To Highway 401, Go Transit & Almost All Shopping Amenities. Must Be Seen!","Stainless Steel Appliances, Washer/Dryer, B/I Dishwasher, Microwave & Window Drapes.",26 Radford Dr,L1T2H8,Ajax
"118 Radford Dr, Ajax, ONTARIO, CANADA, L1T2E1",Detached,2-Storey,Ajax,Central West,63,97,"$539,000 ","$525,000 ",2018-01-31,Radford,118,3,,2,Attached,3,None,2017-09-27,2017-11-29,"Perfect Family Home In Great Neighbourhood. Well Cared For. New Kitchen With Backsplash (2016), New Windows (2008), Open Dining/Living, Hardwood Floors Thru/Out, Walk/Out To Private Fenced Yard With Deck. Finished Basement With 2Pc Bath & Laundry, Lots Of Parking, Close To Schools, Shops, Go Station.","Fridge, Stove, Rangehood, Washer & Dryer, Central Air, Water Softener, Water Tank Rented, All Electric Light Fixtures, Ready To Move In.",118 Radford Dr,L1T2E1,Ajax
"92 Roberson Dr, Ajax, ONTARIO, CANADA, L1T3Z6",Detached,2-Storey,Ajax,Central West,42,92,"$1,199,900 ","$1,100,000 ",2017-12-31,Roberson,92,4,1,4,Attached,4,None,2017-10-30,2017-12-11,"Quaint Pickering Village Location! This Grand Home Has Room For Everyone! Large Walk Out Basement With Full In Law Suite Backs Onto The Private Serene Setting Of Duffin's Creek. Exceptional Unique Layout Allows For A Private Wing And Spacious Master Retreat Backing Onto The Tranquility Of Greenspace. Formal Dining Room, Separate Living Room And Main Floor Office Provide Plenty Of Space For Entertaining Or Large Family. 3 Entrances To Basement.","Heated Floors In Master En Suite. Irrigation System For Easy Lawn Maintenance. Incl: 2 Fridges, 2 Stoves, 2 B/I D/Ws,Washer,Dryer,Freezer, Els, Window Coverings, Ceiling Fans, Garage Door Openers, Hot Tub.",92 Roberson Dr,L1T3Z6,Ajax
"41 Simms Dr, Ajax, ONTARIO, CANADA, L1T3J9",Detached,2-Storey,Ajax,Central West,75,97,"$929,000 ","$905,000 ",2017-12-31,Simms,41,4,,3,Attached,3,Inground,2017-09-29,2017-12-13,"Beautifully Renovated Kitchen (2015) With Quartz Countertop, Stainless Steel Appliances, Marble Backsplash. Breakfast Area Has W/O To Private Spectacular 3200 Sqft 4 Bdrm Home On Premium Lot With Heated In-Ground Pool & Ravine Backdrop. Backyard Oasis, Freshly Stained Deck, Pool (Heater/Pump 08)/Hot Tub. Hardwood Floors/Porcelain Tile On Main. Massive Master Bedroom With Renovated 4 Piece Ensuite(2015) & W/I Closet.New Broadloom/Underpad On 2nd Floor(2016).","2nd 5 Piece Bath(2015), Oak S/Case, All Front Windows Replaced (2015), Garage Doors(2017), Roof Re-Shingled 2009,C-Vac. Unspoiled Bsmnt W Above Grade Windows & Fp- R/I. Walk To Schools/Parks/Transit. Gazebo-Excl:Dr Elf,2 Hall Lights.",41 Simms Dr,L1T3J9,Ajax
"49 Welsh St, Ajax, ONTARIO, CANADA, L1T4A4",Detached,2-Storey,Ajax,Central West,21,98,"$799,900 ","$785,000 ",2018-01-26,Welsh,49,4,,3,Attached,2,Inground,2017-11-06,2017-11-27,"Absolutely Stunning From The Grand Foyer Entrance To Private Backyard Resort! Tastefully Decorated & Appointed Thru-Out. Meticulously Maintained & Updated. Premium Pie-Shaped Lot On A Quiet Crescent. Steps From Park Entrance. Multi-Level Deck, Heated Inground Pool, Hot Tub, Air & Furnace 1 Yr, Roof 4 Yrs, Reno'd Baths, Huge Ensuite + Walk-In Closet, Main Flr. Laundry, California Shutters, Garage Entry, Amazing Space! Must Be Seen. A Very Special Offering!","Top Of The Line Appliances, Dual Fuel Stove, Garage Opener, Custom Pantry, Pool Heater + Equip, Closet Organizers, Hot Tub, Window Coverings, Survey & Floor Plans Attached, Cold Cellar, Huge Open Basement, Spiral Oak Staircase.",49 Welsh St,L1T4A4,Ajax
"40 Arfield Ave, Ajax, ONTARIO, CANADA, L1Z0G5",Detached,2-Storey,Ajax,Northeast Ajax,14,95,"$889,900 ","$846,500 ",2018-05-05,Arfield,40,4,1,4,Attached,2,None,2017-11-06,2017-11-20,"Stunning Immaculate Upgraded Medallion Home Welcomes With Double Doors, 12Ft Ceilings In Living/Dining,11Ft Ceilings In Master And Study. Beautiful Layout W4 Bedrooms With Larger Study In 2nd Floor & 4 Washrooms. This Home Has Upgd Dark Wood In Main Floor, Upgd Berber Carpets In 2nd Fl,3-Way Fireplace In Main,Upgd Larger Kitchen W/Island/Granite Top/Wood Cabinets & Upgd Ss Appliances, Iron Pickets Oak Staircase Is A Beauty, Extra Large Ensuite With Many Upgds","Stainless Steel Doublefridge, Stainless Steel Gas Stove, Stainless Steel Dishwasher, Front Load Washer & Dryer, All Elf's, Garage Door Opener With Remotes, Blinds And Cac. Hot-Water Tank- R.",40 Arfield Ave,L1Z0G5,Ajax
"950 Audley Rd N, Ajax, ONTARIO, CANADA, L1Z 0K6",Semi-Detach...,3-Storey,Ajax,Northeast Ajax,36,103,"$549,900 ","$569,000 ",2018-02-15,Audley,950,4,,4,Attached,1,None,2017-11-15,2017-12-21,Beautifully Finished And Freshly Painted Throughout! This Gorgeous 3-Storey Semi-Detached Home Is Located In A Convenient Northeast Pocket Of Ajax And Offers Tons Of Room For A Growing Family! Spacious Main Floor Family Room With Hardwood Flooring And Convenient Powder Room. The Combined Living And Dining Room Are Open To A Sun-Filled Kitchen And Large Breakfast Area.,"The 3rd Floor Offers 4 Well Appointed Bedrooms Including A Master Retreat With 4Pc Ensuite And Walk-In Closet. Minutes To The 401/407, Transit And All Major Amenities",950 Audley Rd N,L1Z 0K6,Ajax
"78 Boyd Cres, Ajax, ONTARIO, CANADA, L1Z1X7",Semi-Detach...,2-Storey,Ajax,Northeast Ajax,43,97,"$549,000 ","$534,000 ",2018-07-31,Boyd,78,3,,2,Built-In,1,None,2017-12-04,2018-01-16,"Specious Open Concept Semi-Detached Located In Most Sought Area Of Ne Ajax, Perfect Home For Young Family, Empty Nesters. Close To All Amenities, Surrounded By Great Schools, Public And Catholic Schools Such As St.Josephine Bakhita All Within Few Mns Drive, Mins Walk To Ajax Recreation Centre, 412, 407 And 401, Costco, Home Depot, Grocery Stores Etc All Within Short Distance. Quiet And Family Friendly Crescent. Offers Anytime. Pls Certify Deposit Cheq.","Price Include Fridge, Stove, Dishwasher, Front Loader Washer And Dryer, Cac, Cvac, Garage Door Opener And Remotes, Beautiful Deck And Tall Cedar Tree For Privacy. Please Include Sched B And Form 801",78 Boyd Cres,L1Z1X7,Ajax
"68 Boyd Cres, Ajax, ONTARIO, CANADA, L1Z1X7",Semi-Detach...,2-Storey,Ajax,Northeast Ajax,12,102,"$604,900 ","$615,000 ",2018-03-22,Boyd,68,3,,3,Built-In,2,None,2017-11-22,2017-12-04,"Bright, Beautiful, 3 Bdr Semi-Detached Gem, Compl. Redone In The Hamlet Community!! Open Concept Layout, W/ Upgr. Indus. Grade Lam. Flrs.Troughout, Hardw. Stair Case Gourm. Kitch. Brand New S/S Appl. Gas Stove, Cust. Backsplash & Cabinets, Smooth Ceil Throughout. Walk-Out To Deck. Mastr. Bedr. Retreat With W/I Closet & 4 Pc Bath. Cust. Baseboards. Upgr. Elf's T/O Home. Prof. Paint. Fin. Basmnt W. Large Liv. Area. Cust. Closet Doors Too Many Upgr. To List","Stainless Steel Fridge, Stove, Washer, Dryer, Electrical Light Fixtures. Direct Entrance From The Garage! See List Of Upgrades In The Attachments Section.",68 Boyd Cres,L1Z1X7,Ajax
"6 Brackenridge St, Ajax, ONTARIO, CANADA, L1Z1S4",Detached,2-Storey,Ajax,Northeast Ajax,19,98,"$669,900 ","$657,500 ",2018-03-31,Brackenridge,6,4,,3,Built-In,1,None,2017-12-31,2018-01-19,"Very Well Maintained House In Elegant Castle Fields, Located On A Quiet Street,Beautiful Interlocking & Stonework. Main Floor With Eat In Kitchen, And Combined With Living & Dining Area,With Laminate Floor & Gas Fire Place. California Shutters Throughout The Home. Master Br With W/I Close, Large 5Pc Ensuite, His & Her Sinks, Stand Up Shower & Jacuzzi. Professionally Finished Basement With Two Separate Livings Area Wooden Fencing&Custom Made Shed In Backyard","Fridge, Stove, Dishwasher, Washer & Dryer, Central A/C, All Elf's, California Shutters & Window Coverings, Custom Made Shed And Ambiance Lighting In The Back Yard",6 Brackenridge St,L1Z1S4,Ajax
"42 Burtonbury Lane, Ajax, ONTARIO, CANADA, L1Z0C3",Att/Row/Twn...,2-Storey,Ajax,Northeast Ajax,104,97,"$539,900 ","$522,000 ",2018-03-28,Burtonbury,42,3,,3,Built-In,1,None,2017-09-29,2018-01-11,"Great Family Home. Two Storey Gem -10 Ft Ceiling In Great Room. Lovely Country Kitchen Backing On Green Space. Enjoy Romantic View Of Sun From The Balcony. Very Quiet Neighbourhood. Breakfast Bar In Kitchen. Lovely Backsplash W/O To Garage From Rec Room. Enjoy Romantic Walks To The Pond. Close To Audley Rec. Center -Minutes To Schools, Shopping, Hwy 412,407 & 401, Restaurants, Banks, Baseball Field & Go Station.","All Existing Elfs, Stainless Steel Fridge, Stove,B/I Dishwasher, B/I S/S Microwave, Stacked Washer & Dryer (All Whirlpool Appliances) All Existing Window Coverings Except (1 Bdrm), Central Air. 2 Gd Openers.",42 Burtonbury Lane,L1Z0C3,Ajax
"21 Cantwell Cres, Ajax, ONTARIO, CANADA, L1Z2A5",Detached,2-Storey,Ajax,Northeast Ajax,21,94,"$849,900 ","$797,000 ",2018-04-14,Cantwell,21,4,,4,Attached,2,None,2017-12-14,2018-01-04,"Beautiful Medallion's Corner House In North East Ajax, Very Bright House. Facing On North Side. Double Door Entry Hardwood Flr Throughout The House, 4 Br With 3 Full Washroom And Powder Rm On Main Flr, Quartz Counter Top In The Kitchen. New Appliances With Gas Stove, Pot Lights Outside The House, Wood Stairs With Iron Pickets, Shutters Window Covering. Large Baseboard, No Side Walk, Light Valance.","S.S Fridge, Stove, Dishwasher, Washer And Dryer, 5 Arlo Wireless Cameras, Quatz C.Top In The Kitchen And M/S Br, Garage Door Opener, Automatic Light Switch, S.S Range Hood Fan. Freshly Painted. Close To All Amenities, 407, 401, 412 &Taunton",21 Cantwell Cres,L1Z2A5,Ajax
"7 Cater Ave, Ajax, ONTARIO, CANADA, L1Z0G2",Detached,2-Storey,Ajax,Northeast Ajax,16,97,"$749,900 ","$730,000 ",2018-02-28,Cater,7,3,,4,Attached,1,None,2017-11-13,2017-11-29,"Beautiful & Spacious Medallion Built Home On A Premium Lot. Features 3 Bdr And 4 Wshr.9 Ft Ceilings In Liv/Din Rm.Beautifully Upgrd W/ Custm Crown Moulding And Baseboards Throughout.Has Dir Access From Brkfst To A 25 X 17 Custm Built Deck W/ Hard Top Gazebo.It's An Entertainer's Gem.Fin. Bsmnt Feat. Yet Another Big Ent's Fam Rm W/ 3 Pc. Wshr And A Little Exerc/Comp Nook, And Ample Space. Direct Entrance To Garage..","Fridge, Elf's, Dishwasher, Stove, Washer, Dryer, Gazebo, Custom Built Deck!!!",7 Cater Ave,L1Z0G2,Ajax
"16 Cater Ave, Ajax, ONTARIO, CANADA, L1Z0G1",Detached,2-Storey,Ajax,Northeast Ajax,13,95,"$879,900 ","$840,000 ",2018-02-28,Cater,16,4,,3,Attached,2,None,2017-11-30,2017-12-13,"Absolutely Stunning, Bright Brick/Stone Dtchd Home In Prime Location Of Ajax. Minutes From Hwy401/407/412 & Amenities. Upgraded Dbl Door Entry, 9' Smooth Ceiling On Main, Freshly Painted, Hardwood Floor Thru Out, Oak Stair, Upgraded Light Fixtures, California Wood Shutters, Upgraded Kitchen Cabinets W/Backsplash, Granite/Marble Counter In Kitchen & All Bath, Designer Fittings.Upgraded Ensuite W/Glass Shower & Marble Floors. $$$$$ Spent On Luxurious Upgrades!","S/S: Fridge, B/I Microwave, Dishwasher, Hood Fan. B/I Stove. Washer/ Dryer On Pedestal. Central Vac. Cac. Water Softener System. Hwt Rental. Window Coverings.Fully Finished Basement As Rec. Garage Door Remote.Landscaped Backyard. All Elf's.",16 Cater Ave,L1Z0G1,Ajax
"61 Decourcy-Ireland Circ, Ajax, ONTARIO, CANADA, L1T0K6",Semi-Detach...,2-Storey,Ajax,Northeast Ajax,1,100,"$549,000 ","$550,000 ",2018-02-20,Decourcy-Ireland,61,3,,3,Built-In,1,None,2017-11-20,2017-11-21,"Opportunity Knocks For This Great Gulf Built Home In Sought After Northeast Ajax! This Home Boasts An Open Concept Main Floor W/Walkout To Deck Perfect For Bbq'g, Enjoying A Morning Coffee Or Evening Glass Of Wine While Chatting W/Family & Friends; Stainless Steel Appliances In The Kitchen Incl. Double Gas Range; Master Bedroom W/4-Pc Ensuite & Walk-In Closet; Walkout Basement Leading To Backyard & 2nd Entertainment Area..Close To Schools, Shopping, & More.","S/S Appliances: Fridge, Double Gas Range, B/I Dishwasher, & B/I Microwave; Front Loading Clothes Washer & Dryer, All Window Coverings, All Elf's, Gas Bbq(Natural Gas Line), Freezer & Shelving In Garage. Hwt(Rental).",61 Decourcy-Ireland Circ,L1T0K6,Ajax
"93 Decourcy-Ireland Circ, Ajax, ONTARIO, CANADA, L1T0K6",Detached,2-Storey,Ajax,Northeast Ajax,40,96,"$997,000 ","$960,000 ",2017-12-10,Decourcy-Ireland,93,4,2,4,Built-In,2,None,2017-10-10,2017-11-19,"Gorgeous Great Gulf Home Full Of Natural Light With Over 3,500 Sq Ft Of Open Living Space! This Home Has It All With A Second Floor Loft & Upgrades Including Upgraded Rear Elevation, Huge Composite Deck Facing Pond, 9Ft Ceilings, Hardwood Floors, Pot Lights, Crown Moulding, California Shutters, Gas Fireplace & Exterior Pot Lights. Over $50K Spent On Landscaping. Two Bedroom Basement Apartment W/ Modern Kitchen, Sep Laundry & Side Entrance (Income Potential!)","Steps From Shopping, Schools, 407 & 401, Parks. Includes Two S/S Fridges, Two S/S Stoves, Two S/S Built-In Microwaves, Built-In S/S Dishwasher, Two Washers & Dryers, All Elfs & California Shutters. Exclude: Window Coverings & Curtain Rods.",93 Decourcy-Ireland Circ,L1T0K6,Ajax
"27 Decourcy-Ireland Circ, Ajax, ONTARIO, CANADA, L1T0K5",Detached,2-Storey,Ajax,Northeast Ajax,19,100,"$719,000 ","$719,000 ",2018-01-31,Decourcy-Ireland,27,4,1,3,Built-In,1,None,2017-11-04,2017-11-23,"All Brick 4 Bedroom, 1939 Sqf On A Quiet Circle In Great Family Friendly Neighbourhood. Hardwood Floors On Main Floor, Newer Broadloom On Second Floor, Bright And Spacious Open Concept Layout, Large Family Room, Walkouts To Newer Deck On Main Level And To Balcony On 2nd Level, Eat-In Kitchen With New Counter Top, Inside Access To Garage, Upgraded Light Fixtures, Stainless Steel Appliances, Newly Finished Basement. Open House Nov. 11-12, 2-4 Pm","Existing Fridge, Stove, Dishwasher, Washer, Dryer, All Elfs, All Windows Coverings. Walk Your Kids To Nearby Public/Catholic Schools & Parks. Close To Shopping, Restaurants, Transit. Easy Access To Hwy 401 & New 407 Extention",27 Decourcy-Ireland Circ,L1T0K5,Ajax
"20 Draycott Ave, Ajax, ONTARIO, CANADA, L1Z0K2",Detached,2-Storey,Ajax,Northeast Ajax,14,103,"$599,900 ","$615,000 ",2018-03-29,Draycott,20,3,,3,Attached,1,None,2017-11-25,2017-12-09,"""A Touch Of Class"" In This Beautifully Appointed 3Bed Room Home ! ! Desirable North Ajax Family Community* Marigold Model! Open Concept,Brick,3 Bdrm Highmark Home In High Demand Ajax Neighborhood. Fabulous Layout, Laminate Floors Thru-Out,Freshly Painted, Formal Dining Rm, Gas Fireplace, 3 Bedrms On The 2nd Flr. Master W/Ensuite Bath. Close To Schools,French School ,Hwy's *****See Virtual Tour.******","Fridge, Stove, Dishwasher, Washer & Dryerall Elf's And All Window Coverings, ...*****See Virtual Tour.******",20 Draycott Ave,L1Z0K2,Ajax
"20 Dunwell Cres, Ajax, ONTARIO, CANADA, L1T0A2",Detached,2-Storey,Ajax,Northeast Ajax,3,139,"$580,000 ","$805,000 ",2018-04-09,Dunwell,20,4,,3,Built-In,2,None,2018-01-16,2018-01-19,"Gorgeous Fully New Renovated 4Bedrooms House. Perfect Layout, New Kitchen With Centre Island , New Hardwood Floor Covered Whole House, New S/S Fridge & Stove, B/I Dishwasher, Breakfast Area Can Walkout To Deck, Gas Fireplace In Main Floor, Convenient And Big Living Room On The 2nd Floor, Entry To Laundry Room From Garage And Covered Front Porch. Mins To Shopping Plaza And Banks And Schools, Close To Highway 401 And 407. Don't Miss!","All Elf's, Fridge, Stove, Dishwasher, Washer Dryer, Gas Fireplace, Cvac ,Cac, Garage Door Opener And Remoter",20 Dunwell Cres,L1T0A2,Ajax
"105 Elliottglen Dr, Ajax, ONTARIO, CANADA, L1Z0G9",Detached,2-Storey,Ajax,Northeast Ajax,26,93,"$799,999 ","$740,000 ",2018-02-28,Elliottglen,105,4,1,4,Built-In,2,None,2017-12-11,2018-01-06,"Stunning Detached Home In Sought After North Ajax Community! This Move In Ready Home Boasts Extra Wide Driveway. Newly Painted & Completely Refreshed Throughout! 4 Bdrms & Elegant 1 Bedroom Inlaw Suite. Perfect For An Extended Family. Custom Kitchen W Granite Countertops & Ss Apps, W/O To Patio, Potlights, Coffered Ceilings, Crown Moulding, California Shutters, Hrdwd/Laminate Flrs, Family Rm W Gas Fireplace, Huge Master W 5 Piece Ensuite, His And Her Closets.","Immed Close Possible, Incl All Elfs, California Shutters,Ss Gas Cook Top, Bi Oven, White Electric Stove , Ss Fridge, White Fridge, Ss Dishwasher, Almost New Washer& Dryer, Central Vac. Garden Shed, Professional Interlock Front & Back.",105 Elliottglen Dr,L1Z0G9,Ajax
"102 Elliottglen Dr, Ajax, ONTARIO, CANADA, L1Z0H1",Att/Row/Twn...,2-Storey,Ajax,Northeast Ajax,3,97,"$599,999 ","$583,000 ",2018-04-10,Elliottglen,102,3,,3,Attached,2,None,2018-01-10,2018-01-13,"Move In Ready,Welcome Home-Spectacular Freehold End Unit Townhome1803Sqft Located In A Desirable Northeast Ajax Location.3 Bedrooms And 3 Washrooms Freshly Painted And New Carpets, Close To All Amenities, Schools, Shopping, Minutes To 407 & 412. Enjoy An Open Concept Layout In This Home With No Neighbours Behind You. Eat In Kitchen W/ Breakfast Bar, Direct Access To The Garage And Backyard, Ensuite Bath W/Soak Tub This Home Shows 10++.","S/S Fridge, Stove, Built In Dishwasher, Washer, Dryer, Range Hood Microwave, Central Air Conditioning, All Window Coverings, All Electrical Light Fixtures, Garage Door Opener And Remote (Curtains Not Included)",102 Elliottglen Dr,L1Z0H1,Ajax
"27 Feint Dr, Ajax, ONTARIO, CANADA, L1T0E3",Detached,2-Storey,Ajax,Northeast Ajax,44,97,"$708,000 ","$690,000 ",2018-01-08,Feint,27,3,,3,Attached,2,None,2017-11-06,2017-12-20,"Spectacular Home Located In North Ajax Upcoming Community, Over 2000 Sqft, Schools, Shopping And Transportation Minutes Away. 3 Bedroom With Laundry Room Located Upstairs For Your Convenience. Master Bedroom Includes Soaker Tub, Stand-Up Shower And Walk-In Closet, Stainless Steel Appliances, Hardwood Floors, & Pot Lights, Great Size Backyard For Bbq Fun In The Summer, House Really Shows Well.","Stainless Steel Fridge, Stove, B/I Dishwasher, Washer And Dryer, All Elf's, All Window Coverings",27 Feint Dr,L1T0E3,Ajax
"14 Halliday St, Ajax, ONTARIO, CANADA, L1Z 0L7",Detached,Bungaloft,Ajax,Northeast Ajax,18,98,"$799,900 ","$786,000 ",2018-02-09,Halliday,14,3,1,4,Attached,2,None,2017-11-09,2017-11-27,"Immaculate 3+1 Bedroom Menkes-Built Bungaloft With Finished Basement Located In A Family Friendly Neighbourhood, This Stone/Brick Home Features Hardwood Floors On Main Floor, Oak Staircase, 9Ft Ceilings, Upgraded Kitchen Cabinets With Quartz Counter Top, Breakfast Bar, Backsplash And Undermount Lighting, Professionally Finished Basement With Huge Family Room, Bedroom, Full Bathroom, And A Cold Cellar, Backyard Features A Interlock Patio Area And So Much More.","S/S Fridge,S/S Stove, B/I Dishwasher, Washer, Dryer, All Elf's And All Window Coverings. Steps To Public, Catholic And French Immersion Schools, And Parks, Mins To 401, 407, 412, Public Transit, Shopping, Rec Centre, And Golf Course",14 Halliday St,L1Z 0L7,Ajax
"48 Hinsley Cres, Ajax, ONTARIO, CANADA, L1T0B5",Detached,2-Storey,Ajax,Northeast Ajax,14,100,"$849,900 ","$849,000 ",2018-04-30,Hinsley,48,4,,4,Built-In,2,None,2017-11-16,2017-11-30,"Immaculate 2700 Sq.Ft. Upgraded 4 Bedroom Home On A Premium Landscaped Corner Lot. 9' Ceiling On Main Floor, Crown Mouldings, Oak Staircase, Gleaming Hardwood Floors On Main Floor & Upper Hallway & Den.3 Full Baths On 2nd Floor, Large Kitchen W/Quartz Counter, Island & Pantry. Kitchen Open To Family Room W/Gas Fireplace & Walk-Out To Patio. Access Door F/Garage To House & Side Door F/Laundry Room. Steps To School, Transit & Shopping. Mins. To Hwy.401/407/412","S.S. Fridge, Stove & B/I Microwave Oven, B/I Dishwasher, Washer, Dryer, All Electric Light Fixtures & Window Coverings, Garage Dr Opener W/Remote(S), Central Air Condition, Garden Shed, Tankless Water Heater (R), R/I Washroom In Bsmt.",48 Hinsley Cres,L1T0B5,Ajax
